audio_file,top10_neuron_indices
audio--1504195083-headset,"1,78,22,34,57,70,81,60,27,10"
audio--1504195083,"42,77,9,29,13,22,45,81,71,33"
audio--1504195090-headset,"70,77,34,1,22,71,2,33,83,29"
audio--1504195090,"80,42,13,29,9,32,63,10,78,30"
audio--1504195122-headset,"45,32,63,48,30,2,72,22,16,42"
audio--1504195122,"19,30,32,42,15,9,10,45,34,1"
audio--1504195146-headset,"72,34,77,1,9,88,15,78,83,70"
audio--1504195146,"32,71,45,2,27,57,88,15,78,33"
audio--1504195203-headset,"78,83,30,16,19,46,60,9,15,45"
audio--1504195203,"83,46,22,9,88,71,30,34,77,19"
audio--1504195230-headset,"33,83,27,32,54,88,29,9,46,71"
audio--1504195230,"42,33,30,78,71,10,57,15,72,32"
audio--1504195242-headset,"30,70,32,34,27,71,78,77,1,57"
audio--1504195242,"32,27,30,57,72,33,83,77,88,45"
audio--1504195260-headset,"54,72,48,42,81,70,29,10,1,64"
audio--1504195260,"27,64,9,57,71,70,15,2,1,13"
audio--1504195271-headset,"9,2,19,34,33,22,15,30,46,27"
audio--1504195271,"32,88,48,13,46,71,77,33,10,58"
audio--1504195293-headset,"29,77,34,15,42,30,72,27,9,33"
audio--1504195293,"81,33,15,10,34,46,9,71,27,78"
audio--1504195301-headset,"32,83,60,13,33,42,34,70,22,2"
audio--1504195301,"13,70,42,9,22,71,83,30,27,29"
audio--1504195306-headset,"48,27,32,80,34,2,81,30,77,72"
audio--1504195306,"33,42,71,27,77,78,2,57,45,83"
audio--1504195316-headset,"19,13,71,22,33,27,42,81,9,48"
audio--1504195316,"15,46,78,32,30,10,34,13,27,9"
audio--1504195334-headset,"72,30,27,1,13,77,58,22,42,57"
audio--1504195334,"34,22,16,29,13,15,27,78,58,81"
audio--1504195339-headset,"46,22,34,15,13,19,72,48,10,57"
audio--1504195339,"34,33,48,29,15,32,13,1,88,22"
